title,rating,director,rank,quote
七宗罪,8.8,导演: 大卫·芬奇 David Fincher,99,
唐伯虎点秋香,8.8,导演: 李力持 Lik-Chi Lee,100,
狩猎,9.1,导演: 托马斯·温特伯格 Thomas Vinterberg,101,人言可畏。
幽灵公主,8.9,导演: 宫崎骏 Hayao Miyazaki,102,
甜蜜蜜,8.9,导演: 陈可辛 Peter Chan,103,
寄生虫,8.8,导演: 奉俊昊 Joon-ho Bong,104,
天书奇谭,9.2,导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian,105,
蝙蝠侠：黑暗骑士崛起,8.9,导演: 克里斯托弗·诺兰 Christopher Nolan,106,诺兰就是保证。
超能陆战队,8.8,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,107,Balalala~~~
7号房的礼物,8.9,导演: 李焕庆 Hwan-kyeong Lee,108,《我是山姆》的《美丽人生》。
第六感,8.9,导演: M·奈特·沙马兰 M. Night Shyamalan,109,
茶馆,9.5,导演: 谢添 Tian Xie,110,
爱在黎明破晓前,8.8,导演: 理查德·林克莱特 Richard Linklater,111,
爱在日落黄昏时,8.9,导演: 理查德·林克莱特 Richard Linklater,112,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
被嫌弃的松子的一生,8.8,导演: 中岛哲也 Tetsuya Nakashima,113,以戏谑来戏谑戏谑。
头脑特工队,8.8,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,114,愿我们都不用长大，每一座城堡都能永远存在。
哈利·波特与火焰杯,8.8,导演: 迈克·内威尔 Mike Newell,115,
未麻的部屋,9.1,导演: 今敏 Satoshi Kon,116,
重庆森林,8.8,导演: 王家卫 Kar Wai Wong,117,
借东西的小人阿莉埃蒂,8.9,导演: 米林宏昌 Hiromasa Yonebayashi,118,曾经的那段美好会沉淀为一辈子的记忆。
菊次郎的夏天,8.9,导演: 北野武 Takeshi Kitano,119,
入殓师,8.9,导演: 泷田洋二郎 Yôjirô Takita,120,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
断背山,8.8,导演: 李安 Ang Lee,121,每个人心中都有一座断背山。
剪刀手爱德华,8.7,导演: 蒂姆·波顿 Tim Burton,122,
勇敢的心,8.9,导演: 梅尔·吉布森 Mel Gibson,123,
时空恋旅人,8.8,导演: 理查德·柯蒂斯 Richard Curtis,124,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
驯龙高手,8.8,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,125,和谐的生活离不开摸头与被摸头。
消失的爱人,8.7,导演: 大卫·芬奇 David Fincher,126,年度最佳date movie。
无人知晓,9.1,导演: 是枝裕和 Hirokazu Koreeda,127,我的平常生活就是他人的幸福。
倩女幽魂,8.8,导演: 程小东 Siu-Tung Ching,128,
傲慢与偏见,8.7,导演: 乔·怀特 Joe Wright,129,爱是摈弃傲慢与偏见之后的曙光。
新世界,8.9,导演: 朴勋政 Hoon-jung Park,130,要做就做得狠一点，这样才能活下去。
花样年华,8.8,导演: 王家卫 Kar Wai Wong,131,
玩具总动员3,8.9,导演: 李·昂克里奇 Lee Unkrich,132,跨度十五年的欢乐与泪水。
一个叫欧维的男人决定去死,8.9,导演: 汉内斯·赫尔姆 Hannes Holm,133,惠及一生的美丽。
完美的世界,9.1,导演: 克林特·伊斯特伍德 Clint Eastwood,134,
色，戒,8.7,导演: 李安 Ang Lee,135,假戏真情，爱欲深海
阳光灿烂的日子,8.8,导演: 姜文 Wen Jiang,136,
怪兽电力公司,8.8,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,137,
小森林 夏秋篇,9.0,导演: 森淳一 Junichi Mori,138,那些静得只能听见呼吸的日子里，你明白孤独即生活。
教父3,9.0,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,139,
天使爱美丽,8.7,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,140,
侧耳倾听,8.9,导演: 近藤喜文 Yoshifumi Kondo,141,
哪吒闹海,9.2,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan,142,
九品芝麻官,8.8,导演: 王晶 Jing Wong,143,
被解救的姜戈,8.8,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,144,热血沸腾，那个低俗、性感的无耻混蛋又来了。
请以你的名字呼唤我,8.8,导演: 卢卡·瓜达尼诺 Luca Guadagnino,145,沉醉在电影的情感和视听氛围中无法自拔。
幸福终点站,8.8,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,146,有时候幸福需要等一等。 
釜山行,8.6,导演: 延尚昊 Sang-ho Yeon,147,揭露人性的丧尸题材力作。
神偷奶爸,8.7,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,148,Mr. I Don't Care其实也有Care的时候。
小森林 冬春篇,9.0,导演: 森淳一 Junichi Mori,149,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
喜宴,9.0,导演: 李安 Ang Lee,150,
萤火之森,8.8,导演: 大森贵弘 Takahiro Omori,151,触不到的恋人。
告白,8.8,导演: 中岛哲也 Tetsuya Nakashima,152,没有一人完全善，也没有一人完全恶。
玛丽和麦克斯,9.0,导演: 亚当·艾略特 Adam Elliot,153,你是我最好的朋友，你是我唯一的朋友 。
七武士,9.3,导演: 黑泽明 Akira Kurosawa,154,
头号玩家,8.6,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,155,写给影迷，动漫迷和游戏迷的一封情书。
模仿游戏,8.8,导演: 莫滕·泰杜姆 Morten Tyldum,156,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
惊魂记,9.0,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,157,
大鱼,8.8,导演: 蒂姆·波顿 Tim Burton,158,
心灵奇旅,8.7,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,159,
机器人之梦,9.1,导演: 巴勃罗·贝格尔 Pablo Berger,160,
背靠背，脸对脸,9.5,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,161,
射雕英雄传之东成西就,8.7,导演: 刘镇伟 Jeffrey Lau,162,
血战钢锯岭,8.7,导演: 梅尔·吉布森 Mel Gibson,163,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
你的名字。,8.5,导演: 新海诚 Makoto Shinkai,164,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
我是山姆,9.0,导演: 杰茜·尼尔森 Jessie Nelson,165,
阳光姐妹淘,8.8,导演: 姜炯哲 Hyeong-Cheol Kang,166,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
恐怖直播,8.7,导演: 金秉祐 Byeong-woo Kim,167,恐怖分子的“秋菊打官司”。
黑客帝国3：矩阵革命,8.8,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,168,
末路狂花,9.0,导演: 雷德利·斯科特 Ridley Scott,169,
小丑,8.7,导演: 托德·菲利普斯 Todd Phillips,170,
高山下的花环,9.5,导演: 谢晋 Jin Xie,171,
